529150,182270
542010,184280
531720,182910
541450,183220
543580,176500
526060,194910
525050,181050
536710,176960
517110,186280
535450,181190
534590,183230
512160,176120
514550,188210
531790,178650
535960,171440
529820,175530
520460,181340
528590,174030
530690,181840
530600,179650
534830,185010
531240,189940
532310,177250
520890,178490
534800,186500
536660,184610
518790,176710
529160,193140
530220,166830
534300,195820
524750,184480
530430,182940
535220,178050
539250,183900
538000,186700
534130,180640
509870,175280
523270,188100
516780,180460
546440,187940
522670,187250
513050,183670
517940,172380
534070,191050
526310,164140
533200,185020
523100,180740
534370,192370
531120,175460
523200,165220
529930,173810
538280,179360
530490,178740
526780,195980
511230,183080
526080,166630
544670,184590
528280,172840
533520,186040
530970,172590
535180,197280
519440,179320
515150,189790
526620,168340
513680,186420
539780,179240
534010,168460
509750,182000
553230,191320
538380,192290
548160,168240
522820,184450
531260,182120
521470,188720
536770,177040
523950,196420
531040,175450
535970,175850
533270,183320
530040,177850
513960,175740
524410,186850
533620,179090
535100,179550
527290,200320
537930,186140
525740,181470
532590,182700
534170,192690
533650,188910
520820,191040
534610,171530
523260,180760
546970,183620
530160,172090
528730,172320
534350,174880
511010,180860
533030,179010
534870,173130
523950,169140
531810,186470
531820,187180
537430,170310
531010,190390
533620,189470
533380,170130
532420,177790
530350,180040
515360,178260
530160,183000
541620,180160
529440,180450
533740,196460
533410,189020
524340,174940
528460,179110
512950,174800
529300,169410
524070,191290
545810,178420
529260,182500
538190,181730
509450,180160
525120,190610
513840,183590
523530,188030
532730,168250
542550,183560
514320,186420
522370,182800
544390,184250
549620,183290
533700,192400
532590,179490
529830,176750
510280,182890
534400,196730
534850,183910
545290,185910
534610,191060
517110,174150
527550,174720
527590,171180
533690,181640
541530,168050
528600,176830
524870,184370
528920,176090
543360,186010
532730,178980
524710,173860
532710,184750
516700,181560
520070,182100
505530,178340
527130,177570
526680,187400
547400,173000
549520,177670
519760,193380
532340,194740
528240,175690
529460,177520
531060,175520
541610,174670
528560,175770
520720,185100
544680,191380
513540,175560
528520,171450
531430,183300
513820,180310
534270,176260
516640,182890
532130,179430
538470,188700
522840,186970
519810,193360
512310,179060
532040,176230
532600,178790
536310,178380
535940,180460
520600,179080
524240,174180
529750,181900
525780,175900
513420,175520
547410,183540
519290,183530
522410,190580
542680,171460
537660,188230
524020,179970
517050,178750
535860,171440
532720,187910
516240,183890
538200,181740
540530,184750
523360,183600
546320,186720
520490,175430
552320,191830
527710,171200
540700,168020
532120,182890
531330,161480
514910,184640
547900,189190
507630,187900
527550,174060
527530,187590
525840,165550
519810,186590
537260,187860
527190,166550
531010,190390
531540,192690
529910,175580
529100,178960
536290,181020
523820,165630
523990,186490
529800,194240
531110,175710
529150,184950
532330,166230
514290,180190
527490,193490
517730,183890
522960,178550
546170,183720
534400,182290
538400,188650
528500,179790
529410,183460
529480,192200
528970,185270
528220,172250
525790,170060
543110,187840
533460,196560
531470,183470
518120,190310
536340,188880
523120,168140
515100,176360
510760,181070
545710,164760
535240,197660
509370,181370
536400,182490
534500,189780
531220,187030
524900,190230
519560,191190
539350,190490
530680,169540
516620,188270
525790,165380
506060,180250
518370,182620
513690,182950
528670,181120
533430,182520
531170,171570
520000,184330
528680,181150
530050,175070
531050,167540
530870,176520
531960,175170
524870,177460
526540,181650
521650,166900
518110,169010
549620,175490
534930,184160
554670,189510
525690,181190
530300,175070
531640,189670
526580,191110
535310,183250
530430,170280
529920,189610
531890,191010
547070,169150
524470,181540
516010,174790
545680,164970
517980,170310
